BatchId,Date,Region,Channel,Product,Revenue,Orders,Returns
BATCH-000658,2025-01-01,North,Web,Home,10178,124,3
BATCH-000716,2025-01-01,East,Partner,Grocery,7064,192,9
BATCH-000978,2025-01-01,North,Web,Personal Care,4014,77,5
BATCH-001428,2025-01-01,West,Partner,Home,6234,80,4
BATCH-001567,2025-01-01,West,Mobile,Pet Care,11736,188,7
BATCH-002624,2025-01-01,East,Web,Pet Care,3918,55,1
BATCH-002628,2025-01-01,West,Partner,Grocery,9601,194,11
BATCH-002748,2025-01-01,South,Web,Pet Care,13285,196,5
BATCH-003258,2025-01-01,West,Mobile,Beverages,4052,151,9
BATCH-003392,2025-01-01,West,Mobile,Beverages,975,35,1
BATCH-003765,2025-01-01,East,Partner,Grocery,4366,115,3
BATCH-000532,2025-01-02,North,Retail,Beverages,3438,123,6
BATCH-000675,2025-01-02,South,Mobile,Personal Care,2707,50,2
BATCH-000837,2025-01-02,East,Partner,Grocery,1188,31,1
BATCH-000980,2025-01-02,West,Mobile,Grocery,5992,147,4
BATCH-001566,2025-01-02,South,Partner,Home,7271,94,5
BATCH-001799,2025-01-02,East,Web,Beverages,4839,188,5
BATCH-002040,2025-01-02,West,Partner,Personal Care,7302,159,6
BATCH-002853,2025-01-02,South,Mobile,Grocery,6821,167,8
BATCH-003254,2025-01-02,South,Partner,Beverages,1654,53,1
BATCH-003568,2025-01-02,East,Retail,Home,5487,66,3
BATCH-003604,2025-01-02,East,Retail,Personal Care,6915,149,3
BATCH-003973,2025-01-02,West,Web,Beverages,4342,145,3
BATCH-004031,2025-01-02,East,Partner,Beverages,758,29,1
BATCH-004142,2025-01-02,North,Partner,Personal Care,6902,131,6
BATCH-004553,2025-01-02,North,Partner,Home,8991,96,3
BATCH-000220,2025-01-03,South,Partner,Personal Care,2782,65,1
BATCH-000253,2025-01-03,East,Partner,Home,4805,49,1
BATCH-000336,2025-01-03,North,Retail,Home,17566,193,10
BATCH-000456,2025-01-03,North,Retail,Pet Care,9543,148,3
BATCH-000729,2025-01-03,North,Web,Home,9303,100,3
BATCH-000775,2025-01-03,North,Web,Beverages,3033,102,4
